psr,source_file,P_s,DM_LOTAAS,sigma,S135_cor,S135_exp,ra_deg,dec_deg,DM_atnf,P0_atnf
J0608+00,redetect.dat,1.0762,48.5,17.3,10.8,0.0,92.20416666666667,0.65,48.5,1.0762
J0608+16,redetect.dat,0.9458,86.1,77.1,31.4,0.0,,,,
J0609+2130,redetect.dat,0.0557,38.8,20.4,15.0,3.7,92.49535875,21.500788888888888,38.73,0.05569801392951
J0610+37,redetect.dat,0.4439,39.3,50.8,17.4,0.0,,,,
J0611+30,redetect.dat,1.4121,45.2,81.2,27.2,0.0,92.81666666666666,30.266666666666666,45.2551,1.41209
J0613+3731,redetect.dat,0.6192,19.0,46.5,30.8,11.3,93.300625,37.52730555555556,18.99,0.6191981810968724
J0621+0336,redetect.dat,0.27,72.5,24.4,19.8,0.0,95.29675915624999,3.6126539694444446,72.543,0.26995410058794045
J0621+1002,redetect.dat,0.0289,36.5,6.5,31.6,24.4,95.34214316666666,10.044093111111112,36.5619,0.0288538611940574
J0627+0706,redetect.dat,0.2379,138.2,15.8,38.0,34.1,96.93404999999998,7.109166666666666,138.219,0.4758849377129841
J0645+5158,redetect.dat,0.0089,18.3,9.5,37.7,5.4,101.49617807749999,51.970808504644445,18.25136,0.008853496686414667
J0645+80,redetect.dat,0.6579,49.5,12.6,4.5,0.0,101.49999999999999,80.15,49.7,0.65787
J0750+57,redetect.dat,1.1749,26.8,18.2,5.4,0.0,117.49999999999999,57.0,26.7,1.17487
J0815+4611,redetect.dat,0.4342,11.3,35.5,9.7,0.0,123.99775958333333,46.19812222222222,11.2738,0.4342422517307
J0943+2253,redetect.dat,0.533,27.2,31.6,5.4,6.9,145.88498958333332,22.884905555555555,27.2508,0.5329747057408513
J0944+4106,redetect.dat,2.2294,21.4,10.1,2.1,0.0,146.0755756874583,41.101260152950005,21.41,2.2294312669798004
J0947+2740,redetect.dat,0.851,28.9,29.2,6.6,12.6,146.83869583333333,27.67875,29.09,0.851013803292077
J1000+08,redetect.dat,0.4404,21.8,14.6,5.4,0.0,150.1583333333333,8.332777777777778,21.0,0.440372
J1012+5307,redetect.dat,0.0053,9.0,50.7,47.6,41.3,153.1393230708333,53.117305619444444,9.02113,0.005255749101969821
J1022+1001,redetect.dat,0.0165,10.3,137.4,125.8,47.2,155.7416614180833,10.031328103361112,10.255,0.016452929958449262
J1059+6459,redetect.dat,3.6312,19.2,15.1,1.3,0.0,164.86459570824996,64.99219533083334,19.3,3.6311696785970633
J1110+58,redetect.dat,0.7933,26.4,13.4,2.7,0.0,167.74999999999997,58.86666666666667,26.2,0.79335
J1125+7819,redetect.dat,0.0042,11.2,117.0,0.0,78.2,171.49940301287498,78.33019420741667,12.027127,0.00420160911826384
J1134+24,redetect.dat,1.0021,23.7,21.1,4.3,0.0,,,,
J1238+2152,redetect.dat,1.1186,18.0,131.2,27.1,29.4,189.59656508379163,21.869738148633335,17.971,1.1185906894463322
J1239+32,redetect.dat,0.0047,16.9,63.7,24.7,0.0,,,,
